ASV	S1	S10	S100	S101	S102	S103	S104	S105	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S12	S120	S121	S122	S123	S124	S125	S126	S127	S128	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S66	S67	S68	S69	S7	S70	S71	S72	S73	S74	S75	S76	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S94	S95	S97	S98	S99
ASV_40	0	2665	18	45	223	1208	3	257	2103	118	2	8	103	12	628	188	821	26	0	68	21	380	0	1827	1479	1691	441	1	18	24	2	3	38	35	0	96	145	159	107	0	0	5	0	489	1892	4	3	0	169	4	13	0	21	612	3182	9	17	17	0	2	5	408	95	465	16	1	12	25	0	1	0	9	0	0	1	1	0	2069	251	2166	4	23	0	24	7	0	5	105	1	5	3	2345	25	2	185	1109	96	148	1641	1318	0	154	944	6	369	17	2	1	149	0	2389	263	779	2373	16	2	10	14	113	511	266
ASV_42	1	25	28	3	1756	1002	21	0	28	0	22	780	256	7	62	314	12	43	1	1998	132	0	0	34	46	55	93	7	12	29	0	9	2	11	4	46	1228	172	110	4	158	1688	18	49	3145	55	4	0	8	12	90	0	8	1049	1	0	1	0	0	2	2	4	11	44	0	3	509	1	0	0	0	1	0	0	25	1	0	8	1	0	36	0	60	98	100	8	5584	7127	180	2	29	84	359	4	159	147	7	3	8332	38	0	2	16	1	4	2	0	4	65	0	15	6	1274	298	3	53	1017	244	48	1164	13
ASV_43	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	2	6	34	0	1	2	1	0	1	2	0	0	0	1	6	1	1	1	1	3	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	20	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	39	0	0	0
ASV_44	68	2	5	1666	4	27	3997	0	155	3	20	15	16	29	4552	2391	5577	7340	98	230	290	78	56	23	1027	807	66	1266	1364	189	1423	0	0	0	0	0	0	54	45	0	1	6	0	0	0	4	0	15	34	39	40	51	1	0	32	0	0	1	0	101	0	0	0	2	0	0	13	0	0	0	22	0	0	0	0	0	0	0	0	58	20	2	0	0	0	0	0	1	2	75	60	57	0	310	220	922	34	2014	39	21	79	4	16	4	7	7	0	3	9	0	115	9	0	52	57	30	3	81	2	4	42
ASV_45	2	0	10	0	18	0	0	1969	27	2922	0	54	34	26	3	3	53	0	0	0	2	0	0	14	0	314	7	1060	588	777	1225	0	0	0	2	7	1	229	74	0	5	144	0	25	2	20	40	0	3	0	13	0	0	15	1	0	0	7	0	4	1	0	1	2	0	0	6	0	2	0	1	12	0	1022	39	7	642	13	14	630	41	14	1517	52	96	1770	0	3	13	841	5	55	0	1712	0	40	47	24	1	95	12	185	0	3	62	3	3800	286	1612	4543	4857	0	458	227	2956	8	25	49	0	8	1
ASV_46	11	1826	24	87	34	390	34	104	474	172	0	4	8	3	145	68	2607	126	3	7	3	853	0	661	124	1726	586	3	7	43	5	30	49	153	6	575	104	106	626	35	73	216	14	214	42	36	9	1	1449	24	132	0	115	53	4158	83	6	39	0	17	4	594	102	187	34	22	37	142	9	14	4	394	2	20	69	364	0	1120	234	6707	51	35	1	2	26	1	1	339	34	7	5	684	52	1	159	51	232	17	152	615	4	56	72	3	1884	10	12	11	393	0	217	559	141	1456	24	28	86	276	85	56	308
ASV_47	21	24	61	115	4271	14	50	501	213	435	497	4697	1181	735	174	294	18	13	5	127	90	3	0	8	37	183	0	96	41	36	24	276	177	14	142	18	143	86	1898	1	2	56	0	16	1795	16	0	1037	73	2517	86	198	0	165	18	0	14	46	0	54	5	233	146	30	9	205	78	22	18	25	178	12	0	417	654	27	7	24	23	41	198	0	67	479	43	1	569	25	0	86	82	624	26	3	48	359	9	4	1105	94	116	7	15	3	25	5	806	578	101	12	34	0	26	19	0	1030	1312	869	86	2095	45
ASV_48	61	2	4	176	15	8	260	92	30	57	61	14	14	30	181	31	48	142	0	0	5	3	1	32	28	44	60	13	76	0	13	33	206	1	20	1652	31	541	275	488	3786	1877	1515	106	327	3447	43	551	5	230	378	190	1899	161	252	1568	1084	56	322	26	483	9	137	44	41	61	112	30	57	15	0	100	6	46	14	0	22	1255	34	102	2	825	998	139	125	347	0	3	197	8	0	10	0	11	183	1	0	0	0	10	12	31	1038	11	8	359	2531	157	288	2460	0	2	398	199	2	6	15	16	0	44	0
ASV_49	46	34	185	3	7	17	4	39	44	67	0	4	19	13	53	212	816	26	0	10	3	5	0	217	322	197	97	0	34	25	3	0	0	2	0	276	130	87	11327	1	1	97	2	35	4	2	0	0	4960	0	6	0	6	99	74	4	0	0	0	134	0	0	1	0	0	0	64	0	0	0	0	10	0	0	0	0	0	561	187	676	20	4	2	4	49	0	511	287	75	0	29	71	38	5	130	122	15	65	18	3	0	116	686	0	3832	170	0	10	3	0	2171	0	2155	1317	118	2	5	1	604	1526	35
ASV_50	752	13	47	330	200	16	640	3366	62	1965	1024	281	128	394	1233	284	924	1510	306	38	247	49	77	2087	265	619	1637	407	419	303	350	384	94	3	167	454	4	184	126	95	250	169	111	267	14	169	55	304	11	41	58	91	834	30	14	260	28	172	9	557	25	1041	448	60	189	74	284	23	69	218	481	12	71	168	25	12	81	1001	3	152	81	94	182	11	22	13	2	0	389	324	68	24	37	190	668	176	15	743	13	38	322	111	462	9	16	309	57	18	7	51	270	2	6	140	67	357	3	250	74	88	2
